OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
902,43217 - 169097,958,1,1,2377.003858528124056,33.305514828986340,31.219926309452209,32.492908948048743,
903,43218 - 169097,959,1,1,560.216107485579982,7.893018018638238,8.401179999751424,7.631956264484312,
904,43219 - 169097,960,1,1,653.521843098483259,9.223521677091561,9.357978160766445,8.910443582871364,
905,43220 - 169097,961,1,1,548.092983719982271,7.722732204419406,8.148259838857044,7.468147194957696,
906,43221 - 169097,962,1,1,1026.834700218926628,14.787760663252820,14.918374613440278,13.962941909606734,
907,43222 - 169097,963,1,1,1183.445458125178675,16.438364390053174,16.486330696723332,16.163682176560929,
908,43223 - 169097,964,1,1,1021.791528972514470,14.315969739965109,14.259239168288047,13.951391826546464,
909,43224 - 169097,965,1,1,637.778568636207410,9.177642751333359,10.211149079209800,8.677234696303673,
910,43225 - 169097,966,1,1,973.820926335741206,13.564132031936991,13.966826881743261,13.289668053224638,
911,43226 - 169097,967,1,1,667.919572690951100,9.873588492991473,10.471333797297774,9.046962177449078,
912,43227 - 169097,968,1,1,1931.228941178065725,27.556330590830491,26.025625385759241,26.352650723691649,
913,43228 - 169097,969,1,1,1818.347693734403720,25.237711201769429,24.312191583617722,24.856150437590806,
914,43229 - 169097,970,1,1,1675.627357868390391,23.551022548049001,22.207666854565836,22.874535690105898,
915,43230 - 169097,971,1,1,1670.458240047063327,23.481739698273593,22.133893887733905,22.803794721466982,
916,43231 - 169097,972,1,1,570.135910224825466,8.195092028226636,8.899150518120601,7.757312734430847,
917,43232 - 169097,973,1,1,678.402080936606694,9.597727861721005,10.162828225341448,9.241207442395583,
918,43233 - 169097,974,1,1,658.923512829342940,9.335227930608236,9.413253222800501,8.983567334194060,
919,43234 - 169097,975,1,1,1803.322380241813335,25.348449799170290,24.467413068432808,24.629782655454374,
920,43235 - 169097,976,1,1,1427.914693440915926,21.455307157093504,22.855903166013420,19.361439080675304,
921,43236 - 169097,977,1,1,1521.750192766125792,22.791223327908039,23.620337357888008,20.657448509358911,
922,43237 - 169097,978,1,1,780.271279588564425,11.009568211677905,11.371098367842897,10.641809705074202,
923,43238 - 169097,979,1,1,931.700280693850573,12.891447575044479,13.275805640677541,12.719607902292802,
924,43239 - 169097,980,1,1,1762.806242534745707,24.681829164143622,23.220769822157528,24.092824030381568,
925,43240 - 169097,981,1,1,2862.507681687644435,39.904852219899134,37.137567803160579,39.145044030989844,
926,43241 - 169097,982,1,1,450.143040187123177,6.590187350283870,7.625275504529298,6.110753334703404,
927,43242 - 169097,983,1,1,2752.341102769696136,38.413075029378838,35.757868063521201,37.635979670087252,
928,43243 - 169097,984,1,1,552.554408866477047,7.837773988447689,7.820390880171751,7.532595409788391,
929,43244 - 169097,985,1,1,338.110127525628286,4.949813566219780,5.592489500561140,4.589085186596202,
930,43245 - 169097,986,1,1,1193.189894884707655,18.076655844812791,18.314924812295367,16.592009149057379,
931,43246 - 169097,987,1,1,1857.860603635701864,25.921297234978578,24.577585323487043,25.395102459309825,
932,43247 - 169097,988,1,1,538.179088385786372,7.620649284063372,7.669891434689556,7.335993753783488,
933,43248 - 169097,989,1,1,760.241515801908008,11.141919386607951,11.698587262965498,10.310206966030274,
934,43249 - 169097,990,1,1,524.537099242009504,7.414599760067399,7.527067799195549,7.149421419516053,
935,43250 - 169097,991,1,1,325.685449518921359,4.831620104364478,5.384787925844273,4.414511738909253,
936,43251 - 169097,992,1,1,2118.274567947116793,31.891633551793667,31.403305677236165,28.725927254187411,
937,43252 - 169097,993,1,1,2535.900368343573064,35.440615073073808,33.394450621663147,34.667898504649713,
938,43253 - 169097,994,1,1,1808.666184845461657,25.484864526361104,24.195201743572873,24.688629263351128,
939,43254 - 169097,995,1,1,798.116495563571448,11.348537514525258,12.136577044378010,10.870426672305230,
940,43255 - 169097,996,1,1,411.446182419927538,6.322940822271582,7.350751982810649,5.532313727824780,
941,43256 - 169097,997,1,1,342.575862521844556,5.516616878037793,6.485794306539482,4.580405160830004,
942,43257 - 169097,998,1,1,3178.813648150853624,46.683470042369166,42.276178938926144,44.542207919404305,
943,43258 - 169097,999,1,1,952.471607241270817,13.397126501700843,13.374483986143405,12.984551041485320,
944,43259 - 169097,1000,1,1,766.521043293939556,11.071193686837454,11.397869391001713,10.601796034419674,
945,43260 - 169097,1001,1,1,4225.067509021184378,59.329597145329714,53.030679875189712,57.795141263007849,
946,43261 - 169097,1002,1,1,4219.728156778760422,59.250289995705650,52.976864159820884,57.722072910209157,
947,43262 - 169097,1003,1,1,521.280957483673433,7.719748804628072,8.236862721290251,7.060441560650048,
948,43263 - 169097,1004,1,1,552.369114551076905,8.200440890059379,8.781394455805845,7.479668428712242,
949,43264 - 169097,1005,1,1,509.432770629851689,7.709380033796313,7.392761391546203,6.890887536334754,
950,43265 - 169097,1006,1,1,1733.973780505614513,27.029705237826263,23.765168753825957,23.539999608329627,
951,43266 - 169097,1007,1,1,456.434120801623351,6.876505608959071,6.907322073996346,6.158982363736560,
952,43267 - 169097,1008,1,1,546.755189912022615,9.534208422902617,10.567024676772489,7.335096285015936,
953,43268 - 169097,1009,1,1,911.603242622851667,15.334314110031848,13.585353710707070,12.300820910622940,
954,43269 - 169097,1010,1,1,1006.738984051153807,16.900095625088895,15.053243315428086,13.581149005365033,
955,43270 - 169097,1011,1,1,230.950566458774375,3.363184968016002,3.533492091675338,3.131902591577417,
956,43271 - 169097,1012,1,1,415.229326091413498,6.088969848588500,6.764341489972119,5.622022173339561,
957,43272 - 169097,1013,1,1,1463.851331922319105,23.784587281982290,22.982059997329440,19.772877897516722,
958,43273 - 169097,1014,1,1,460.195809454190851,6.714392124485281,6.488008975696250,6.254436519610333,
959,43274 - 169097,1015,1,1,265.789593744487206,4.398093324679553,5.675611926913954,3.546174729099345,
960,43275 - 169097,1016,1,1,518.862734063401376,9.943092064976554,10.422431698693639,6.824955175151877,
961,43276 - 169097,1017,1,1,895.382032946539312,16.095330759822673,16.943126928219723,11.904921951559635,
962,43277 - 169097,1018,1,1,701.641461855375155,11.185910126814457,11.011717649703368,9.487688080800195,
963,43278 - 169097,1019,1,1,385.614703173289683,5.729666723695542,5.665490707726238,5.215138379590859,
964,43279 - 169097,1020,1,1,3249.426528846538531,45.211826777096796,41.719906300521352,44.447355956168522,
965,43280 - 169097,1021,1,1,498.291867314120225,8.723009810304573,9.624989409583526,6.688832176397414,
966,43281 - 169097,1022,1,1,843.918315647395161,15.110890080668474,14.722955515466188,11.214615239340002,
967,43282 - 169097,1023,1,1,3303.895507943308530,45.947500614307529,42.409688047502009,45.194294408618369,
968,43283 - 169097,1024,1,1,184.328995343371474,2.795155844257483,3.161650352814923,2.486744222359245,
969,43284 - 169097,1025,1,1,1843.036849021870921,30.248130576787858,30.414997489208861,24.863587014145825,
970,43285 - 169097,1026,1,1,3149.231823617675218,44.880441316436446,42.290226820419505,42.996850402120984,
971,43286 - 169097,1027,1,1,606.356315918474820,9.933677107864225,12.118475349670037,8.097127210580526,
972,43287 - 169097,1028,1,1,1469.803073649479074,23.976424102509174,23.763826093454078,19.842111120684173,
973,43288 - 169097,1029,1,1,80.601685865316838,1.183934507760519,0.972932630264489,1.101459944786858,
974,43289 - 169097,1030,1,1,1531.025217161271712,24.216157509265521,21.395759857828033,20.759611825202462,
975,43290 - 169097,1031,1,1,101.333044887475012,1.700062868644830,1.474657054466931,1.369786969203014,
976,43291 - 169097,1032,1,1,2631.326626119692719,41.065412199242914,42.919233110170829,35.829127271799486,
