OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
2668,119428 - 169097,2797,1,1,642.423092641813469,10.182478223636016,11.180598659474173,8.535613816146192,
2669,119429 - 169097,2798,1,1,1400.824226599068425,20.897422480621245,20.110571733120647,18.974411071027951,
2670,119430 - 169097,2799,1,1,1609.941206691998104,23.590882663902054,23.657138643497873,21.871754090844959,
2671,119431 - 169097,2800,1,1,1142.333234378100087,17.684363900868519,18.361475749760199,15.874418006403060,
2672,119432 - 169097,2801,1,1,1344.278180990479541,19.944513106313252,20.154155644252491,18.232627263198982,
2673,119433 - 169097,2802,1,1,1893.938339027229631,27.878425367558894,27.421360141682946,25.728613300935475,
2674,119434 - 169097,2803,1,1,969.245521869089885,14.671925826150238,15.130553389356473,13.014469615937269,
2675,119435 - 169097,2804,1,1,458.758142045236411,7.399432463915105,8.695785349730773,6.050661524846929,
2676,119436 - 169097,2805,1,1,643.264375584246750,10.031316992194856,10.149596148042971,8.671708100622185,
2677,119437 - 169097,2806,1,1,742.672805657385538,10.899228004923577,11.917179248622187,10.086815665312386,
2678,119438 - 169097,2807,1,1,1072.713881550342194,16.542045126508715,17.587865793811904,14.511814249731232,
2679,119439 - 169097,2808,1,1,1324.101252108127028,19.975849111712790,21.185547203082741,17.957447305937773,
2680,119440 - 169097,2809,1,1,702.249905139230577,11.009092075878462,12.060991502583015,9.351589531389189,
2681,119441 - 169097,2810,1,1,628.888250562619078,9.800044872119750,9.919666305283684,8.476751070257736,
2682,119442 - 169097,2811,1,1,1613.650104382076961,23.723228412548163,23.649743273152126,21.920612342564802,
2683,119443 - 169097,2812,1,1,1351.140979983785428,19.895872871887700,20.165577714363867,18.339835451860928,
2684,119444 - 169097,2813,1,1,945.927000713956545,13.084370939562408,13.449379147947468,12.914552172959434,
2685,119445 - 169097,2814,1,1,840.198122080323515,12.896635522358817,13.624675829670547,11.245829985638419,
2686,119446 - 169097,2815,1,1,1443.087466877914494,21.752323022366877,23.176391268082888,19.565145143643338,
2687,119447 - 169097,2816,1,1,645.881465235582596,10.249896637539546,11.354828516355042,8.580204862427360,
2688,119448 - 169097,2817,1,1,360.495984569203131,5.852860180675371,6.818287776714250,4.807289516169407,
2689,119449 - 169097,2818,1,1,614.566481013385896,9.601839493807484,9.699855564932594,8.281004564385746,
2690,119450 - 169097,2819,1,1,899.233486698527145,13.722743687251141,14.360729170116672,12.052055066123295,
2691,119451 - 169097,2820,1,1,2414.022292635522717,35.292653086987208,34.219946148612912,32.838100534064942,
2692,119452 - 169097,2821,1,1,1035.965791444855768,15.798982901921017,16.703746246194271,14.020949837738904,
2693,119453 - 169097,2822,1,1,1012.984244605866365,16.499971572940936,15.649542364619283,13.597262728499423,
2694,119454 - 169097,2823,1,1,398.032696547802857,6.060659189502223,6.869126207806341,5.381965473838028,
2695,119455 - 169097,2824,1,1,1066.522805124163597,16.054504762606367,16.803967956492777,14.437599341090184,
2696,119456 - 169097,2825,1,1,1520.458637928351436,22.679171569352462,23.302530927591029,20.647491506360485,
2697,119457 - 169097,2826,1,1,621.035347009886891,9.234165673552793,10.497725781398403,8.419393251855574,
2698,119458 - 169097,2827,1,1,1225.376618647258510,18.830641396533576,19.375444581813799,17.011678230742120,
2699,119459 - 169097,2828,1,1,1322.338039299729189,19.508594137892576,19.768727247393119,17.945971237315717,
2700,119460 - 169097,2829,1,1,666.679739767660067,9.725039139145164,10.507457688934828,9.057256040560187,
2701,119461 - 169097,2830,1,1,2323.146212366243162,34.700290155876708,33.604500328676373,31.539770096885650,
2702,119462 - 169097,2831,1,1,1618.438680346930141,24.152517958517517,23.573038887301106,21.962648236417795,
2703,119463 - 169097,2832,1,1,697.389911815766936,10.274252734654082,11.383663149778807,9.466358414260132,
2704,119464 - 169097,2833,1,1,1270.023704871545078,19.013591486348087,17.841348389618890,17.196153291271305,
2705,119465 - 169097,2834,1,1,2140.638453712719183,31.812237795459886,31.262302249098045,29.064754875245704,
2706,119466 - 169097,2835,1,1,1665.567640573744939,24.898839241541182,24.484568120788943,22.599596053639644,
2707,119467 - 169097,2836,1,1,3322.022861289602133,47.764022878272122,45.008711113490399,45.279568440086223,
2708,119468 - 169097,2837,1,1,133.548276487370771,1.992080223728377,2.143666088969446,1.800468147340685,
2709,119469 - 169097,2838,1,1,1092.533063748693621,18.576138133703566,17.674772372768032,14.652457418809705,
2710,119470 - 169097,2839,1,1,224.774473011420667,4.411858420693941,4.347121845808144,2.935167251100834,
2711,119471 - 169097,2840,1,1,330.946736351438460,5.203677158678754,4.748424745534360,4.477408345096361,
2712,119472 - 169097,2841,1,1,419.222221379694474,7.408107423122837,6.784178206662180,5.592306953501557,
2713,119473 - 169097,2842,1,1,1501.804878304940985,22.386258206601898,22.953693934204178,20.290078406353064,
